sector,filename,transit_events,n_points,depth_ppm,formal_error_ppm,reduced_chi_square,beta,robust_error_ppm
46,tess2021336043614-s0046-0000000056815340-0217-s_lc.fits,3,1698,171.2663604,29.74894623,1.35952729,1.561813169,54.1744651
91,tess2025099153000-s0091-0000000056815340-0288-s_lc.fits,2,977,125.426116,45.69784886,1.226808358,1.630821162,82.5449404
